timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850750.1003616,-0.43742383,-0.4175833,0.64728075,-0.43742383,-0.4175833,0.64728075
1715850750.1026866,-0.43742383,-0.4175833,0.64728075,-0.43742383,-0.4175833,0.64728075
1715850750.1080458,-0.4267712,-0.45167172,0.490687,-0.4267712,-0.45167172,0.490687
1715850750.1103396,-0.4267712,-0.45167172,0.490687,-0.4267712,-0.45167172,0.490687
1715850750.112414,-0.4267712,-0.45167172,0.490687,-0.4267712,-0.45167172,0.490687
1715850750.1167908,-0.4416849,-0.46871597,0.3426154,-0.4416849,-0.46871597,0.3426154
1715850750.1189852,-0.4416849,-0.46871597,0.3426154,-0.4416849,-0.46871597,0.3426154
1715850750.1212814,-0.4416849,-0.46871597,0.3426154,-0.4416849,-0.46871597,0.3426154
1715850750.1261358,-0.5524723,-0.41545278,0.18069533,-0.5524723,-0.41545278,0.18069533
1715850750.1282582,-0.5524723,-0.41545278,0.18069533,-0.5524723,-0.41545278,0.18069533
1715850750.1304178,-0.5524723,-0.41545278,0.18069533,-0.5524723,-0.41545278,0.18069533
1715850750.1327612,-0.5524723,-0.41545278,0.18069533,-0.5524723,-0.41545278,0.18069533
1715850750.1382663,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1405885,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1428096,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.144898,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1469355,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.149093,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1512356,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.153412,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1555126,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1577692,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1603994,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1624942,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.16469,-0.6611292,-0.34088433,0.049667913,-0.6611292,-0.34088433,0.049667913
1715850750.1759157,-0.8571377,-0.034088433,-0.14101426,-0.8571377,-0.034088433,-0.14101426
